File Name: ,Test Description: ,Operator: ,Special Comments: ,Date and Time: 21 Dec 2020_115135,Sampling Rate (Hz): 100,
Calibration Constants,8.625 N/V,7.791 N/V,7.941 N/V
Offsets,8.627 N,8.026 N,8.016 N
Micrometer,12.800 mm,12.800 mm,12.800 mm
Time (s),LC-X (N),LC-Y(N),LC-Z (N),Angle (deg),Est. Speed (rev/s)
0.000,8.621,8.188,8.076,0.900,NaN
0.010,8.621,8.111,8.147,0.900,NaN
0.020,8.624,8.083,8.142,0.900,0.000
0.030,8.627,8.062,8.113,0.900,0.000
0.040,8.627,8.054,8.089,0.900,0.000
0.050,8.624,8.039,8.068,0.900,0.000
0.060,8.621,8.036,8.055,0.900,0.000
0.070,8.627,8.036,8.050,0.900,0.000
0.080,8.624,8.034,8.042,0.900,0.000
0.090,8.627,8.031,8.032,0.900,0.000
0.100,8.627,8.026,8.032,0.900,0.000
0.110,8.624,8.026,8.029,0.900,0.000
0.120,8.624,8.021,8.024,0.900,0.000
0.130,8.621,8.029,8.027,0.900,0.000
0.140,8.621,8.026,8.032,0.900,0.000
0.150,8.624,8.026,8.027,0.900,0.000
0.160,8.627,8.026,8.024,0.900,0.000
0.170,8.624,8.024,8.021,0.900,0.000
0.180,8.627,8.026,8.024,0.900,0.000
0.190,8.630,8.024,8.024,0.900,0.000
0.200,8.627,8.026,8.019,0.900,0.000
0.210,8.624,8.026,8.021,0.900,0.000
0.220,8.627,8.026,8.021,0.900,0.000
0.230,8.627,8.026,8.019,0.900,0.000
0.240,8.627,8.026,8.019,0.900,0.000
0.250,8.619,8.029,8.021,0.900,0.000
0.260,8.627,8.026,8.016,0.900,0.000
0.270,8.621,8.026,8.019,0.900,0.000
0.280,8.624,8.029,8.024,0.900,0.000
0.290,8.630,8.031,8.019,0.900,0.000
0.300,8.624,8.026,8.016,0.900,0.000
0.310,8.621,8.026,8.019,0.900,0.000
0.320,8.627,8.024,8.014,0.900,0.000
0.330,8.624,8.024,8.019,0.900,0.000
0.340,8.627,8.024,8.024,0.900,0.000
0.350,8.627,8.026,8.019,0.900,0.000
0.360,8.627,8.024,8.014,0.900,0.000
0.370,8.627,8.024,8.014,0.900,0.000
0.380,8.630,8.024,8.014,0.900,0.000
0.390,8.624,8.024,8.016,0.900,0.000
0.400,8.621,8.029,8.016,0.900,0.000
0.410,8.624,8.029,8.019,0.900,0.000
0.420,8.624,8.026,8.021,0.900,0.000
0.430,8.624,8.024,8.014,0.900,0.000
0.440,8.627,8.019,8.014,0.900,0.000
0.450,8.627,8.029,8.011,0.900,0.000
0.460,8.624,8.024,8.011,0.900,0.000
0.470,8.624,8.024,8.019,0.900,0.000
0.480,8.627,8.026,8.016,0.900,0.000
0.490,8.627,8.024,8.016,0.900,0.000
0.500,8.624,8.026,8.016,0.900,0.000
0.510,8.627,8.026,8.016,0.900,0.000
0.520,8.627,8.026,8.014,0.900,0.000
0.530,8.627,8.026,8.016,0.900,0.000
0.540,8.630,8.031,8.021,0.900,0.000
0.550,8.627,8.024,8.021,0.900,0.000
0.560,8.627,8.026,8.016,0.900,0.000
0.570,8.624,8.024,8.016,0.900,0.000
0.580,8.624,8.026,8.016,0.900,0.000
0.590,8.627,8.026,8.016,0.900,0.000
0.600,8.624,8.026,8.014,0.900,0.000
0.610,8.627,8.026,8.021,0.900,0.000
0.620,8.630,8.026,8.019,0.900,0.000
0.630,8.621,8.021,8.019,0.900,0.000
0.640,8.627,8.021,8.019,0.900,0.000
0.650,8.627,8.026,8.014,0.900,0.000
0.660,8.627,8.026,8.014,0.900,0.000
0.670,8.627,8.029,8.021,0.900,0.000
0.680,8.627,8.029,8.024,0.900,0.000
0.690,8.621,8.026,8.019,0.900,0.000
0.700,8.621,8.024,8.014,0.900,0.000
0.710,8.624,8.024,8.016,0.900,0.000
0.720,8.619,8.029,8.016,0.900,0.000
0.730,8.624,8.026,8.016,0.900,0.000
0.740,8.627,8.029,8.021,0.900,0.000
0.750,8.621,8.029,8.024,0.900,0.000
0.760,8.624,8.029,8.014,0.900,0.000
0.770,8.621,8.026,8.014,0.900,0.000
0.780,8.627,8.029,8.016,0.900,0.000
0.790,8.627,8.026,8.011,0.900,0.000
0.800,8.624,8.024,8.019,0.900,0.000
0.810,8.624,8.029,8.021,0.900,0.000
0.820,8.624,8.029,8.019,0.900,0.000
0.830,8.624,8.026,8.014,0.900,0.000
0.840,8.627,8.024,8.014,0.900,0.000
0.850,8.627,8.024,8.016,0.900,0.000
0.860,8.630,8.024,8.014,0.900,0.000
0.870,8.627,8.026,8.016,0.900,0.000
0.880,8.633,8.024,8.021,0.900,0.000
0.890,8.627,8.026,8.019,0.900,0.000
0.900,8.630,8.024,8.019,0.900,0.000
0.910,8.624,8.029,8.016,0.900,0.000
0.920,8.627,8.026,8.014,0.900,0.000
0.930,8.624,8.026,8.016,0.900,0.000
0.940,8.627,8.026,8.019,0.900,0.000
0.950,8.624,8.026,8.021,0.900,0.000
0.960,8.627,8.024,8.016,0.900,0.000
0.970,8.621,8.026,8.019,0.900,0.000
0.980,8.627,8.026,8.016,0.900,0.000
0.990,8.627,8.024,8.016,0.900,0.000
1.000,8.624,8.026,8.016,0.900,0.000
1.010,8.621,8.024,8.021,0.900,0.000
1.020,8.627,8.024,8.024,0.900,0.000
1.030,8.627,8.024,8.016,0.900,0.000
1.040,8.627,8.021,8.016,0.900,0.000
1.050,8.624,8.021,8.016,0.900,0.000
1.060,8.627,8.029,8.011,0.900,0.000
1.070,8.624,8.026,8.014,0.900,0.000
1.080,8.630,8.029,8.019,0.900,0.000
1.090,8.627,8.026,8.016,0.900,0.000
1.100,8.624,8.026,8.014,0.900,0.000
1.110,8.627,8.019,8.014,0.900,0.000
1.120,8.627,8.021,8.011,0.900,0.000
1.130,8.624,8.029,8.014,0.900,0.000
1.140,8.624,8.024,8.019,0.900,0.000
1.150,8.624,8.026,8.019,0.900,0.000
1.160,8.621,8.024,8.016,0.900,0.000
1.170,8.627,8.026,8.014,0.900,0.000
1.180,8.624,8.024,8.019,0.900,0.000
1.190,8.621,8.021,8.014,0.900,0.000
1.200,8.624,8.024,8.021,0.900,0.000
1.210,8.624,8.026,8.019,0.900,0.000
1.220,8.624,8.024,8.019,0.900,0.000
1.230,8.621,8.024,8.016,0.900,0.000
1.240,8.627,8.029,8.014,0.900,0.000
1.250,8.624,8.026,8.016,0.900,0.000
1.260,8.624,8.026,8.011,0.900,0.000
1.270,8.627,8.019,8.019,0.900,0.000
1.280,8.627,8.024,8.021,0.900,0.000
1.290,8.619,8.024,8.016,0.900,0.000
1.300,8.627,8.024,8.008,0.900,0.000
1.310,8.627,8.024,8.011,0.900,0.000
1.320,8.627,8.024,8.014,0.900,0.000
1.330,8.624,8.026,8.016,0.900,0.000
1.340,8.624,8.024,8.014,0.900,0.000
1.350,8.624,8.026,8.016,0.900,0.000
1.360,8.627,8.026,8.016,0.900,0.000
1.370,8.621,8.026,8.014,0.900,0.000
1.380,8.621,8.024,8.016,0.900,0.000
1.390,8.630,8.024,8.016,0.900,0.000
1.400,8.624,8.024,8.014,0.900,0.000
1.410,8.621,8.029,8.016,0.900,0.000
1.420,8.624,8.029,8.016,0.900,0.000
1.430,8.630,8.026,8.011,0.900,0.000
1.440,8.624,8.026,8.016,0.900,0.000
1.450,8.621,8.024,8.011,0.900,0.000
1.460,8.624,8.024,8.014,0.900,0.000
1.470,8.627,8.024,8.016,0.900,0.000
1.480,8.627,8.024,8.019,0.900,0.000
1.490,8.627,8.026,8.021,0.900,0.000
1.500,8.627,8.024,8.016,0.900,0.000
1.510,8.627,8.021,8.014,0.900,0.000
1.520,8.621,8.024,8.016,0.900,0.000
1.530,8.630,8.024,8.014,0.900,0.000
1.540,8.627,8.019,8.021,0.900,0.000
1.550,8.627,8.026,8.024,0.900,0.000
1.560,8.627,8.026,8.014,0.900,0.000
1.570,8.627,8.021,8.014,0.900,0.000
1.580,8.621,8.024,8.016,0.900,0.000
1.590,8.624,8.024,8.014,0.900,0.000
1.600,8.621,8.024,8.016,0.900,0.000
1.610,8.627,8.026,8.016,0.900,0.000
1.620,8.627,8.024,8.016,0.900,0.000
1.630,8.624,8.024,8.014,0.900,0.000
1.640,8.624,8.024,8.014,0.900,0.000
1.650,8.621,8.021,8.014,0.900,0.000
1.660,8.624,8.024,8.014,0.900,0.000
1.670,8.624,8.026,8.014,0.900,0.000
1.680,8.630,8.026,8.019,0.900,0.000
1.690,8.621,8.021,8.016,0.900,0.000
1.700,8.624,8.024,8.016,0.900,0.000
1.710,8.624,8.029,8.019,0.900,0.000
1.720,8.627,8.029,8.008,0.900,0.000
1.730,8.624,8.026,8.019,0.900,0.000
1.740,8.624,8.029,8.016,0.900,0.000
1.750,8.621,8.021,8.016,0.900,0.000
1.760,8.630,8.024,8.014,0.900,0.000
1.770,8.624,8.026,8.011,0.900,0.000
1.780,8.627,8.024,8.014,0.900,0.000
1.790,8.621,8.024,8.014,0.900,0.000
1.800,8.621,8.024,8.016,0.900,0.000
1.810,8.627,8.024,8.019,0.900,0.000
1.820,8.624,8.024,8.016,0.900,0.000
1.830,8.627,8.024,8.016,0.900,0.000
1.840,8.621,8.024,8.014,0.900,0.000
1.850,8.624,8.024,8.014,0.900,0.000
1.860,8.624,8.026,8.011,0.900,0.000
1.870,8.621,8.026,8.016,0.900,0.000
1.880,8.627,8.026,8.021,0.900,0.000
1.890,8.627,8.024,8.019,0.900,0.000
1.900,8.627,8.029,8.014,0.900,0.000
1.910,8.624,8.024,8.014,0.900,0.000
1.920,8.624,8.026,8.016,0.900,0.000
1.930,8.627,8.024,8.016,0.900,0.000
1.940,8.624,8.026,8.019,0.900,0.000
1.950,8.621,8.026,8.021,0.900,0.000
1.960,8.627,8.024,8.019,0.900,0.000
1.970,8.624,8.026,8.011,0.900,0.000
1.980,8.627,8.024,8.016,0.900,0.000
1.990,8.627,8.029,8.011,0.900,0.000
2.000,8.630,8.024,8.011,0.900,0.000
2.010,8.627,8.024,8.019,0.900,0.000
2.020,8.624,8.024,8.016,0.900,0.000
2.030,8.627,8.024,8.016,0.900,0.000
2.040,8.624,8.026,8.014,0.900,0.000
2.050,8.624,8.024,8.016,0.900,0.000
2.060,8.627,8.024,8.014,0.900,0.000
2.070,8.621,8.026,8.014,0.900,0.000
2.080,8.624,8.029,8.021,0.900,0.000
2.090,8.627,8.024,8.011,0.900,0.000
2.100,8.627,8.024,8.011,0.900,0.000
2.110,8.624,8.026,8.014,0.900,0.000
2.120,8.621,8.026,8.014,0.900,0.000
2.130,8.621,8.024,8.014,0.900,0.000
2.140,8.627,8.029,8.019,0.900,0.000
2.150,8.624,8.029,8.016,0.900,0.000
2.160,8.624,8.026,8.014,0.900,0.000
2.170,8.624,8.024,8.014,0.900,0.000
2.180,8.627,8.026,8.014,0.900,0.000
2.190,8.624,8.024,8.014,0.900,0.000
2.200,8.624,8.026,8.019,0.900,0.000
2.210,8.624,8.026,8.021,0.900,0.000
2.220,8.627,8.024,8.016,0.900,0.000
2.230,8.621,8.029,8.016,0.900,0.000
2.240,8.627,8.021,8.016,0.900,0.000
2.250,8.624,8.024,8.008,0.900,0.000
2.260,8.621,8.026,8.011,0.900,0.000
2.270,8.621,8.026,8.019,0.900,0.000
2.280,8.627,8.029,8.016,0.900,0.000
2.290,8.624,8.026,8.016,0.900,0.000
2.300,8.624,8.021,8.011,0.900,0.000
2.310,8.630,8.026,8.016,0.900,0.000
2.320,8.627,8.026,8.016,0.900,0.000
2.330,8.621,8.026,8.014,0.900,0.000
2.340,8.627,8.029,8.016,0.900,0.000
2.350,8.624,8.026,8.016,0.900,0.000
2.360,8.627,8.024,8.011,0.900,0.000
2.370,8.627,8.026,8.011,0.900,0.000
2.380,8.627,8.026,8.016,0.900,0.000
2.390,8.627,8.024,8.014,0.900,0.000
2.400,8.624,8.024,8.011,0.900,0.000
2.410,8.627,8.029,8.021,0.900,0.000
2.420,8.624,8.024,8.019,0.900,0.000
2.430,8.624,8.026,8.016,0.900,0.000
2.440,8.624,8.026,8.014,0.900,0.000
2.450,8.624,8.024,8.016,0.900,0.000
2.460,8.624,8.026,8.014,0.900,0.000
2.470,8.624,8.026,8.019,0.900,0.000
2.480,8.621,8.029,8.019,0.900,0.000
2.490,8.627,8.024,8.014,0.900,0.000
2.500,8.627,8.024,8.016,0.900,0.000
2.510,8.627,8.021,8.016,0.900,0.000
2.520,8.624,8.026,8.016,0.900,0.000
2.530,8.627,8.026,8.014,0.900,0.000
2.540,8.627,8.026,8.016,0.900,0.000
2.550,8.627,8.026,8.019,0.900,0.000
2.560,8.624,8.024,8.016,0.900,0.000
2.570,8.624,8.024,8.014,0.900,0.000
2.580,8.624,8.026,8.016,0.900,0.000
2.590,8.624,8.024,8.016,0.900,0.000
2.600,8.624,8.021,8.019,0.900,0.000
2.610,8.627,8.029,8.021,0.900,0.000
2.620,8.627,8.024,8.016,0.900,0.000
2.630,8.627,8.026,8.019,0.900,0.000
2.640,8.621,8.026,8.016,0.900,0.000
2.650,8.621,8.026,8.011,0.900,0.000
2.660,8.630,8.024,8.016,0.900,0.000
2.670,8.624,8.024,8.016,0.900,0.000
2.680,8.627,8.024,8.016,0.900,0.000
2.690,8.624,8.024,8.016,0.900,0.000
2.700,8.624,8.026,8.014,0.900,0.000
2.710,8.621,8.029,8.014,0.900,0.000
2.720,8.627,8.026,8.016,0.900,0.000
2.730,8.621,8.024,8.016,0.900,0.000
2.740,8.630,8.026,8.019,0.900,0.000
2.750,8.624,8.026,8.016,0.900,0.000
2.760,8.624,8.029,8.016,0.900,0.000
2.770,8.624,8.024,8.014,0.900,0.000
2.780,8.621,8.029,8.014,0.900,0.000
2.790,8.627,8.024,8.011,0.900,0.000
2.800,8.627,8.026,8.014,0.900,0.000
2.810,8.624,8.026,8.019,0.900,0.000
2.820,8.624,8.026,8.014,0.900,0.000
2.830,8.621,8.026,8.016,0.900,0.000
2.840,8.624,8.026,8.014,0.900,0.000
2.850,8.627,8.024,8.014,0.900,0.000
2.860,8.624,8.026,8.016,0.900,0.000
2.870,8.627,8.026,8.014,0.900,0.000
2.880,8.627,8.026,8.019,0.900,0.000
2.890,8.627,8.024,8.014,0.900,0.000
2.900,8.624,8.024,8.014,0.900,0.000
2.910,8.624,8.026,8.011,0.900,0.000
2.920,8.621,8.026,8.014,0.900,0.000
2.930,8.624,8.026,8.014,0.900,0.000
2.940,8.624,8.026,8.016,0.900,0.000
2.950,8.624,8.029,8.021,0.900,0.000
2.960,8.627,8.024,8.014,0.900,0.000
2.970,8.624,8.026,8.011,0.900,0.000
2.980,8.621,8.026,8.016,0.900,0.000
2.990,8.624,8.021,8.014,0.900,0.000
3.000,8.621,8.026,8.016,0.900,0.000
3.010,8.627,8.029,8.016,0.900,0.000
3.020,8.627,8.024,8.019,0.900,0.000
3.030,8.627,8.021,8.014,0.900,0.000
3.040,8.624,8.029,8.019,0.900,0.000
3.050,8.624,8.026,8.014,0.900,0.000
3.060,8.624,8.024,8.014,0.900,0.000
3.070,8.621,8.021,8.016,0.900,0.000
3.080,8.627,8.024,8.014,0.900,0.000
3.090,8.621,8.021,8.014,0.900,0.000
3.100,8.624,8.029,8.011,0.900,0.000
3.110,8.624,8.021,8.011,0.900,0.000
3.120,8.624,8.026,8.014,0.900,0.000
3.130,8.627,8.024,8.016,0.900,0.000
3.140,8.621,8.026,8.014,0.900,0.000
3.150,8.624,8.026,8.019,0.900,0.000
3.160,8.624,8.024,8.014,0.900,0.000
3.170,8.624,8.024,8.011,0.900,0.000
3.180,8.627,8.026,8.019,0.900,0.000
3.190,8.624,8.021,8.014,0.900,0.000
3.200,8.621,8.029,8.014,0.900,0.000
3.210,8.624,8.024,8.019,0.900,0.000
3.220,8.630,8.024,8.014,0.900,0.000
3.230,8.621,8.024,8.016,0.900,0.000
3.240,8.621,8.024,8.011,0.900,0.000
3.250,8.624,8.026,8.016,0.900,0.000
3.260,8.624,8.026,8.008,0.900,0.000
3.270,8.627,8.026,8.019,0.900,0.000
3.280,8.627,8.021,8.016,0.900,0.000
3.290,8.624,8.029,8.014,0.900,0.000
3.300,8.627,8.024,8.014,0.900,0.000
3.310,8.630,8.024,8.019,0.900,0.000
3.320,8.624,8.024,8.011,0.900,0.000
3.330,8.624,8.021,8.014,0.900,0.000
3.340,8.627,8.026,8.014,0.900,0.000
3.350,8.624,8.026,8.019,0.900,0.000
3.360,8.633,8.026,8.016,0.900,0.000
3.370,8.627,8.026,8.016,0.900,0.000
3.380,8.627,8.026,8.016,0.900,0.000
3.390,8.624,8.024,8.014,0.900,0.000
3.400,8.624,8.021,8.014,0.900,0.000
3.410,8.627,8.029,8.016,0.900,0.000
3.420,8.630,8.029,8.016,0.900,0.000
3.430,8.624,8.024,8.016,0.900,0.000
3.440,8.627,8.024,8.016,0.900,0.000
3.450,8.621,8.024,8.014,0.900,0.000
3.460,8.624,8.024,8.016,0.900,0.000
3.470,8.624,8.026,8.016,0.900,0.000
3.480,8.621,8.024,8.021,0.900,0.000
3.490,8.630,8.029,8.019,0.900,0.000
3.500,8.621,8.024,8.016,0.900,0.000
3.510,8.630,8.024,8.011,0.900,0.000
3.520,8.624,8.024,8.011,0.900,0.000
3.530,8.627,8.024,8.014,0.900,0.000
3.540,8.624,8.024,8.014,0.900,0.000
3.550,8.624,8.026,8.014,0.900,0.000
3.560,8.624,8.024,8.016,0.900,0.000
3.570,8.624,8.026,8.008,0.900,0.000
3.580,8.627,8.029,8.014,0.900,0.000
3.590,8.627,8.024,8.008,0.900,0.000
3.600,8.624,8.021,8.014,0.900,0.000
3.610,8.624,8.029,8.016,0.900,0.000
3.620,8.627,8.026,8.019,0.900,0.000
3.630,8.627,8.024,8.014,0.900,0.000
3.640,8.627,8.024,8.011,0.900,0.000
3.650,8.624,8.024,8.011,0.900,0.000
3.660,8.627,8.024,8.011,0.900,0.000
3.670,8.624,8.026,8.016,0.900,0.000
3.680,8.630,8.026,8.019,0.900,0.000
3.690,8.627,8.024,8.014,0.900,0.000
3.700,8.624,8.024,8.014,0.900,0.000
3.710,8.627,8.029,8.011,0.900,0.000
3.720,8.621,8.024,8.011,0.900,0.000
3.730,8.621,8.029,8.011,0.900,0.000
3.740,8.624,8.026,8.019,0.900,0.000
3.750,8.624,8.026,8.019,0.900,0.000
3.760,8.627,8.026,8.016,0.900,0.000
3.770,8.624,8.026,8.014,0.900,0.000
3.780,8.624,8.024,8.014,0.900,0.000
3.790,8.624,8.024,8.016,0.900,0.000
3.800,8.624,8.024,8.014,0.900,0.000
3.810,8.627,8.026,8.024,0.900,0.000
3.820,8.630,8.026,8.014,0.900,0.000
3.830,8.619,8.026,8.014,0.900,0.000
3.840,8.621,8.024,8.011,0.900,0.000
3.850,8.624,8.024,8.014,0.900,0.000
3.860,8.624,8.026,8.014,0.900,0.000
3.870,8.621,8.026,8.014,0.900,0.000
3.880,8.624,8.026,8.016,0.900,0.000
3.890,8.624,8.029,8.019,0.900,0.000
3.900,8.627,8.024,8.014,0.900,0.000
3.910,8.627,8.024,8.014,0.900,0.000
3.920,8.624,8.024,8.008,0.900,0.000
3.930,8.624,8.024,8.011,0.900,0.000
3.940,8.624,8.024,8.016,0.900,0.000
3.950,8.624,8.026,8.016,0.900,0.000
